symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
DOGSUSDT,2026-04-28T00:12:26.523922+00:00,kucoin,3.104e-05,3.104e-05,-0.00023,61326283,1902341.2986599999,-3.06,3.451e-05,3.039e-05,5112191.8568,56.38,59.76,56.01,43.76,40.19,50.54,1901480.8658999999,0.045
LINKUSDT,2026-04-28T00:12:26.523922+00:00,kucoin,9.328,9.328,2.2e-05,27730614,25836613.063800003,-1.78,9.591,9.155,5112011.1746,58.79,73.71,70.39,50.41,47.93,52.41,26053767.1779,-0.833
BTCUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,76804.2,76804.2,-6.7e-05,28771801,2209795158.3641996,-1.32,78254.6,76400.0,412063426.857,48.24,49.12,48.0,40.28,43.57,57.59,2211116497.821,-0.06
ETHUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,2285.63,2285.63,-3.6e-05,30965146,707826079.3848001,-1.4200000000000002,2329.68,2265.41,284338713.2724,48.5,51.3,48.8,39.82,41.34,51.01,706772402.9988,0.149
SOLUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,83.891,83.891,6.2e-05,38188617,320379583.45980006,-1.8599999999999999,85.83,83.611,116626811.9124,49.61,46.16,44.86,34.01,36.89,46.32,320242995.6384,0.043
SWARMSUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.02161,0.02161,-0.001146,12749537,2756449.8994,-2.17,0.02724,0.01758,62224414.7644,42.65,33.48,45.82,50.1,52.88,68.76,2849916.1862,-3.28
XRPUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,1.39121,1.39121,-2e-05,9540705,132738874.59449999,-1.8499999999999999,1.4188,1.38354,36373906.0564,42.69,47.03,47.52,38.25,36.53,47.88,133814258.28709999,-0.804
ORCAUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,1.581,1.581,-0.001991,6512508,10344467.7072,33.29,1.9682,1.1759,35027580.3738,52.56,55.88,57.41,56.07,61.41,86.89,10380618.1028,-0.348
ZECUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,336.59,336.59,-4.3e-05,16984466,57193490.808400005,-6.36,361.06,333.66,31247259.566,49.85,48.25,36.37,29.46,38.45,55.53,57181839.6044,0.02
PRLUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.39493,0.39493,-0.005261,3081791,12085551.5856,67.10000000000001,0.40329,0.22883,27405892.3424,53.71,70.12,70.75,66.76,83.93,77.0,11262066.5664,7.312
